SPEI,SPI_1,SPI_2,SPI_3,SPI_6,MAI,OBSERVED
-0.01,-0.43,-0.19,-0.54,0.43,28.4,0.6
0.2,-0.5,0.06,-0.19,1.15,8.9,0.9
1.15,0.89,0.41,0.37,0.26,16.5,0.8
1.07,0.25,0.37,0.37,0.36,16.9,0.8
0.38,-0.07,-0.01,0.05,0.33,2.4,0.9
-1.02,-0.7,-1.77,-0.82,-0.74,16.7,0.8
0.2,0.19,-0.37,-0.5,-2.42,40.3,0.5
-0.48,-0.16,0.12,-0.09,-1.47,10.5,0.9
-0.18,-0.06,-0.71,-0.32,-0.63,18.1,0.8
1.3,0.1,-0.32,-0.25,-2.87,88.4,0.2
0.97,0.3,0.63,0.34,-2.18,15,0.8
0.05,0.21,-0.21,0.05,1.28,50.8,0.4
-1.53,0.01,0.4,0.02,2.53,48.3,0.5
-1.13,0.33,1.01,1.47,0.98,62.5,0.3
-0.38,-1.06,-0.38,-0.39,-0.26,30.7,0.6
-1.28,-0.17,-0.53,-0.74,-0.31,28.8,0.6
0.41,-0.93,-1.15,-1.16,-1.05,47,0.5
-0.63,-0.13,-0.42,-0.47,-0.97,10.1,0.8
1.07,0.29,-0.29,-0.19,-0.41,7.6,0.9
-0.51,0.62,0.17,0.72,-0.22,52.1,0.4
0.3,1.68,1.56,1.68,1.65,19.2,0.7
0.27,1.59,1.72,1.78,1.53,3.9,0.8
0.64,-0.08,-0.01,0.02,-0.23,22.3,0.7
-0.55,-0.32,-0.32,-0.11,0.15,8.8,0.9
-0.35,-0.6,-0.75,-0.78,0.43,42.8,0.5
0.83,0.55,1.02,0.6,-0.34,6.2,0.9
0.24,-0.25,-0.75,-0.62,0.55,30.1,0.6
0.52,0.66,0.64,0.64,1.89,0.9,0.9
1.13,1.19,1.37,1.14,1.35,0.2,0.9
0.15,0.49,0.62,1.02,-0.71,1.8,0.9
1.11,1.24,1.2,0.73,-0.51,1.4,0.9
1.26,0.55,0.43,0.55,-0.1,0.5,0.9
0.37,0.51,1.03,0.74,0.15,26.6,0.6
1.18,0.19,0.31,0.41,-0.07,35.4,0.6
-0.21,-0.73,0.03,0.12,-1.79,24.3,0.7
0.04,-0.19,0.13,-0.34,-0.36,19.8,0.8
-0.12,0.06,0.11,-0.36,1.15,9.7,0.9
1.04,0.41,0.91,-0.27,2.09,2.5,0.9
0.03,0.37,0.61,-0.78,2.51,20.2,0.7
0.05,-0.01,0.08,0.57,1.25,12.1,0.8
-0.43,-1.77,-0.95,-0.45,0.05,15,0.8
0.17,-0.37,-0.37,-0.8,0.48,21.4,0.7
0.03,0.12,0.03,-0.49,-0.79,14.9,0.8
-0.05,-0.71,0.1,-0.28,-2.59,16.4,0.8
-0.3,-0.32,0.19,0.39,-2.08,6.6,0.9
-0.79,0.63,0.48,0.5,-0.55,20.8,0.7
0.3,-0.21,0.32,0.17,0.09,17.6,0.8
0.01,0.4,0.13,-1.36,-0.17,23.8,0.7
0.7,1.01,0.49,-0.1,0.94,21.6,0.7
-0.64,-0.38,-0.07,-0.51,-0.03,2.5,0.9
-0.73,-0.53,0.34,-1.77,-0.28,6.9,0.9
0,-1.15,-0.75,-0.48,-0.83,1.4,0.9
-0.74,-0.42,-0.4,-0.5,-0.13,13.8,0.8
0.37,-0.29,0.03,0.07,0.04,12,0.8
-0.2,0.17,-0.43,-0.73,-0.68,4.5,0.9
1.28,1.56,1.4,1.95,-1.73,3.8,0.9
1.15,1.72,0.79,1.22,-0.93,4.9,0.9
0.01,-0.01,0.03,0.5,-1.19,6.9,0.9
-0.03,-0.32,-0.01,0.11,-1.19,6.1,0.9
-0.89,-0.75,-0.79,0.06,-0.28,6.1,0.9
0.8,1.02,1.04,0.47,0.94,3.9,0.9
-0.41,-0.75,-0.53,-0.5,1.59,11.9,0.9
0.38,0.64,0.38,0.84,1.6,0.3,0.9
1.73,1.37,1.42,1.88,1.5,1.1,0.9
0.43,0.62,0.35,0.69,1.14,5.3,0.9
1.66,1.2,1.02,1.69,1.05,12.4,0.8
1.3,0.1,-0.32,-0.25,-2.87,79.2,0.2
0.05,0.21,-0.21,0.05,1.28,50.8,0.4
-0.08,0.3,1.02,0.5,0.5,74.3,0.3
1.4,0.8,-0.11,-0.3,0.9,92.5,0.1
-0.2,-1.77,1.42,1.72,0.2,27.6,0.6
0.08,-0.19,0.35,1.15,1.3,99.6,0.1
0.2,0.1,0.3,1.2,0.8,100,0
1.3,0.5,0.3,0.1,0.6,100,0
0.8,-0.29,-0.13,1.15,1.2,75.4,0.2
-1.13,0.33,1.01,1.47,0.98,62.5,0.3
0.05,0.21,-0.21,0.05,1.28,50.8,0.4
0.03,0.75,1.77,0.4,0.9,100,0
1.15,0.89,0.41,0.37,0.26,16.5,0.8
1.07,0.25,0.37,0.37,0.36,16.9,0.8
0.38,-0.07,-0.01,0.05,0.33,2.4,0.9
-1.02,-0.7,-1.77,-0.82,-0.74,16.7,0.8
0.2,0.19,-0.37,-0.5,-2.42,40.3,0.5
-0.48,-0.16,0.12,-0.09,-1.47,10.5,0.9
1.45,0.43,0.64,0.83,0.37,3.4,0.9
0.73,1.03,0.75,1.34,0.41,2.7,0.8
0.8,0.31,0.55,0.86,-0.07,12.8,0.8
-0.2,0.03,-0.3,0.13,0.85,1.8,0.9
0.04,-0.19,0.13,-0.34,-0.36,19.8,0.8
-0.12,0.06,0.11,-0.36,1.15,9.7,0.9
